file	speaker	gender	dialect	sentence_number	nC_tier1	rateC_tier1	meanC_tier1	meanCLn_tier1	deltaC_tier1	deltaCLn_tier1	varcoC_tier1	rPVI_C_tier1	nPVI_C_tier1	nV_tier1	rateV_tier1	meanV_tier1	meanVLn_tier1	deltaV_tier1	deltaVLn_tier1	varcoV_tier1	rPVI_V_tier1	nPVI_V_tier1	percentV_tier1	nCV_tier1	rateCV_tier1	meanCV_tier1	meanCVLn_tier1	deltaCV_tier1	deltaCVLn_tier1	varcoCV_tier1	rPVI_CV_tier1	nPVI_CV_tier1
18m_be_144	18	m	be	144	7	6.621724837281886	0.15101805414350084	-1.9556364347200397	0.05605682878541847	0.4043140373112095	0.3711928954676636	6.182606488603026	43.378148149651146	6	13.622360175714768	0.07340871824713223	-2.654394567642725	0.022965159175006997	0.3232809609731415	0.3128396697745659	2.2092153799156233	30.30641779032835	29.410962700577237	13	8.680679085471809	0.11519836065286918	-2.2781401883766637	0.05841717738764083	0.5066916212549417	0.5071007699811905	7.19929872986109	62.221767591991664
18m_be_145	18	m	be	145	7	7.43306119382087	0.1345340733682246	-2.377027381272023	0.09790495874941738	1.0602745218984386	0.7277335495629274	14.099946765629987	115.7827886439285	6	16.549145758872772	0.06042607966419374	-2.844052108286787	0.018537811564652146	0.297768307247968	0.30678494563394565	3.0594562789023105	48.22057096380855	27.79712260880241	13	9.967070397490458	0.1003303839663642	-2.592577255278837	0.08009052459889648	0.8110226076889535	0.7982678968491426	9.289355693686394	90.83547053912572
18m_be_146	18	m	be	146	6	8.271718816895381	0.12089385799205989	-2.1873320763613315	0.0516833567220224	0.42061459136442636	0.42751019431786913	6.134401217758356	51.0576475300997	5	12.996797151234096	0.07694203336127672	-2.706587301805878	0.040023357741566935	0.6374937733696151	0.5201754618784202	6.527006417768279	96.38343063227502	34.656284561708816	11	9.909255410207457	0.10091575588715845	-2.4233571788361257	0.05003175762547218	0.5696946571155588	0.4957774649323984	5.020028004463813	55.29891364502907
18m_be_147	18	m	be	147	5	7.520643986786944	0.13296733654151224	-2.21214729516263	0.07517712268947203	0.7916605660895135	0.5653803756985222	7.684161350378456	64.70580079276779	4	9.046739412102964	0.11053706252024613	-2.3025273301945415	0.050253270749378506	0.5528635554340314	0.45462824507548355	5.783064860330761	55.241321941614274	39.94166830863658	9	8.130191959639946	0.12299832586539397	-2.2523161996212577	0.06255059049724676	0.6559375423150966	0.5085483079314463	4.226398276666905	37.50142953545603
18m_be_148	18	m	be	148	7	8.823605458325469	0.11333235656592679	-2.308403923831533	0.06069844596918652	0.56391079566982	0.5355791391655877	5.583569237084085	48.70686840198634	7	14.770359865769493	0.06770315747807291	-2.797988383438184	0.03217250603207462	0.5132068570000174	0.4751994918773819	4.297924722743294	62.99919690163226	37.39772156617736	14	11.047556113845767	0.09051775702199985	-2.5531961536348584	0.05233274622558211	0.5769405570019266	0.5781489505187686	6.177983592787858	66.50739700251
18m_be_149	18	m	be	149	6	9.425584945564085	0.10609421121079864	-2.3587405833670316	0.048421221013156344	0.5690255676428103	0.4563983318274378	6.32586938323209	67.14923690666143	6	10.764992435214953	0.09289370206417913	-2.4627651291808865	0.037792574119547145	0.4824335392000351	0.40683677450422545	5.742528426773864	65.06552046420161	46.68308769880461	12	10.050861718602158	0.09949395663748888	-2.4107528562739593	0.0419818433049791	0.505885757879346	0.4219537017503687	3.7977664102782	39.719152368104496
18m_be_150	18	m	be	150	4	5.168102309590237	0.19349462144825205	-1.6964634859730736	0.07933976224847218	0.3639829274052023	0.41003600851866934	11.897947475128912	54.45847656635553	4	9.683692589125055	0.10326639252499778	-2.380612775043125	0.05194902700037188	0.5598121547458413	0.5030584077757585	9.285668747693173	91.90756879603438	34.797829789834275	8	6.739429729069065	0.14838050698662492	-2.0385381305080994	0.07861548777712112	0.5699298402436476	0.5298235554903957	9.418118153106155	61.01391119566111
18m_be_151	18	m	be	151	7	7.8738564336198476	0.12700256963413672	-2.2544228361587955	0.058771700842798834	0.824171665588512	0.46275993479585253	6.237762665005219	55.618672774457245	6	13.800700808524297	0.07246008835887006	-2.792750109359531	0.04372186681371981	0.655618612521458	0.6033924026862946	5.260612294425702	74.63304219231884	32.84239201464056	13	9.82037389732364	0.10182911673785978	-2.5028815776360576	0.0576583639427959	0.7724958063097007	0.5662266922262195	6.373251818756483	68.18765809347585
18m_be_152	18	m	be	152	8	11.312818951604518	0.08839529778368531	-2.67047750152002	0.07169993621379399	0.743342997449549	0.8111283972282437	6.651526093382916	58.6610074771615	8	18.46314630804913	0.05416194961115828	-3.0170836622292896	0.02414041026087516	0.49884702222283034	0.44570792658286856	2.396823305640186	42.91393327331167	37.99312248302949	16	14.029451582076085	0.07127862369742179	-2.8437805818746544	0.05462183344462438	0.6372018762596138	0.7663143676355819	5.2108173538653935	67.31567208359567
18m_be_153	18	m	be	153	5	10.662645970414802	0.0937853514760462	-2.418002499235837	0.03463134096953045	0.3545720263960623	0.3692617282388249	4.592584287446486	44.83754928311274	5	11.401486208243748	0.08770786384646578	-2.6995661022654813	0.0645477711003818	0.8617596990291788	0.7359405219738775	6.995601865116907	80.98008408882427	48.325698396278675	10	11.019695675378365	0.090746607661256	-2.558784300750659	0.04893909794067168	0.6387139474036404	0.539293965933738	7.133463117068891	78.90858058977192
18m_be_154	18	m	be	154	5	8.167367851035282	0.12243846710947906	-2.22285833313165	0.05446537526231692	0.6195863165456085	0.4448387549120195	3.572381989183293	37.242659301794056	6	11.014222422343298	0.09079170200625457	-2.5102143614498202	0.04138411302797423	0.5549352355723137	0.4558138256415031	4.147934624570093	50.43354498519567	47.08532961940716	11	9.507818709720821	0.10517659523499297	-2.3795979849415607	0.048125403362143215	0.5745010715500093	0.4575676104994466	4.562156629552049	51.46561385190348
18m_be_155	18	m	be	155	6	7.486335863269629	0.13357669469604236	-2.0732795052953628	0.05179833255254901	0.37833817705004763	0.3877797146457143	5.717351334685952	40.93550889186811	6	11.61750303469122	0.08607701646505994	-2.661757129468423	0.04745014161272764	0.7999407307769841	0.5512521641823915	4.749065475557739	67.97486054063918	39.18759943096423	12	9.105241106229817	0.10982685558055116	-2.367518317381893	0.05346330455011549	0.6711010279793923	0.48679627826459515	6.202050427527503	64.68996159785878
18m_be_156	18	m	be	156	7	9.547231530520767	0.10474240587998537	-2.6872157239713528	0.10029570222439904	1.03277798939012	0.9575462906525042	8.41838531098998	103.07814754713904	6	13.565164759510468	0.07371823473790874	-2.82204752661321	0.04133464089117389	0.8449145784107475	0.5607112139639724	4.473719200764783	80.78652548487801	37.627142227676025	13	11.059064981205779	0.09042355766056537	-2.749445786729133	0.07746383176475567	0.9141443912683368	0.8566775491796254	6.793219631530921	78.75352875357854
18m_be_157	18	m	be	157	5	7.014074595697856	0.1425704825855942	-2.3829568716153116	0.11784735253731868	1.2351138844251348	0.8265901216022563	9.335305206764724	82.3953736033101	5	18.30778509686295	0.054621571900106615	-3.0082876725957197	0.022370598835815814	0.5588563229770255	0.40955611597424846	2.5532142327255736	47.74543673299386	27.6996819382839	10	10.142396483551156	0.09859602724285041	-2.695622272105516	0.0924309327709807	0.9619946474534394	0.9374711675077481	10.530734130333435	83.50927714364533
18m_be_158	18	m	be	158	5	7.004188645628029	0.1427717114135973	-2.1073196991923977	0.06986912983445841	0.7304692579023218	0.48937656586642425	4.835378213701122	42.66463803550028	4	20.5544930767131	0.04865116333775873	-3.3963716803428525	0.03719868071092752	1.1436906000436076	0.764600025135621	5.9209796469772655	121.14960088746587	21.42130260412803	9	9.906840361591332	0.1009403567132246	-2.6802316908148227	0.07362400840670766	1.1040263018818008	0.729381298065711	9.702035240546698	108.94244673044125
18m_be_159	18	m	be	159	7	10.194880690580108	0.09808844559838571	-2.41046669363848	0.040683946285464456	0.4790803874938808	0.41476797840227997	4.757556833303287	54.0538420548719	6	10.36735818453696	0.09645658828413127	-2.637711731835067	0.07360478811105994	0.8967500159578855	0.763087202444306	5.77244078723639	74.10044255816656	45.73719318320346	13	10.273767055188701	0.09733528068411443	-2.5153490189599816	0.05554879872706584	0.6809765645659709	0.5706954183174371	5.679042256243058	66.51074671629338
18m_be_160	18	m	be	160	5	7.109766871954345	0.14065158788042206	-2.180894247916837	0.09488419044443834	0.7798297871622318	0.6746044738940747	6.727072983858906	65.41306153257848	4	9.275999003840312	0.10780509997747895	-2.3497613423740136	0.06842952324797721	0.5373507691823664	0.6347521894815041	9.867103257397762	73.4851127494396	38.010456874074634	9	7.933161602237208	0.12605314881244734	-2.255946289897805	0.08097636584388572	0.6482808647219012	0.6423985962014268	10.45707340742809	78.09863885258419
18m_be_161	18	m	be	161	5	8.682745319797036	0.11517094688012519	-2.3899881889871493	0.07457258670944869	0.8106992141344981	0.6474947782366243	8.2119085444091	87.30928392653323	4	12.86334494180364	0.07774027708377573	-2.7205442881383304	0.0494403269747192	0.6819402181685899	0.6359679799113723	5.739502550537715	81.94420137065843	35.06490224349424	9	10.14866849044554	0.09853509363730321	-2.5369020108321187	0.06392454164463894	0.7303147049357342	0.648748981555121	5.3052533126154255	55.52349653774176
18m_be_162	18	m	be	162	7	9.575937302731152	0.10442841973440972	-2.3857947650943663	0.0660014905142343	0.5064698885591143	0.6320261350511125	7.776480581125483	61.127406347458866	7	12.086431228368033	0.08273740867799773	-2.564852550569983	0.031024260817505218	0.43351182500949226	0.37497259478172984	4.908405237572191	61.61369090570153	44.20540297328813	14	10.685711259178856	0.09358291420620372	-2.4753236578321745	0.050808054266494575	0.4623419829460957	0.5429201975324514	4.9798139117819415	47.06408389877507
18m_be_163	18	m	be	163	8	10.19137788677228	0.09812215885919925	-2.3863236632673477	0.035865832496310944	0.3974111851747294	0.365522252193582	6.052053545321607	61.45415339821483	8	17.154760410325448	0.05829285726416209	-2.9354884953350564	0.026357487100678208	0.4748675582792801	0.4521563762303782	3.383555775359908	59.675114893866606	37.26806972176361	16	12.786496140643177	0.07820750806168067	-2.660906079301202	0.03670878053963355	0.5092721595359798	0.46937668069774174	4.712097302840517	59.48819523881268
18m_be_164	18	m	be	164	6	8.291146271994359	0.12061058473636833	-2.199657944642592	0.05778433047586329	0.43916443564145996	0.4790983362046439	5.2632438476902355	44.2613721609037	5	17.515549785870007	0.05709212740822508	-3.02049819866376	0.03405979250190651	0.6426375142419407	0.5965759912635454	4.950344773770324	87.35497725234404	28.287960240133664	11	10.900541870388995	0.0917385586781214	-2.5727671510158503	0.056867267768688716	0.6673707545980719	0.6198840333672139	5.834271586050047	72.1422829616255
18m_be_165	18	m	be	165	8	9.866952221866141	0.10134841818569884	-2.597623092384391	0.0786898562546685	0.8959821453508919	0.7764290520103286	8.603608261805087	90.79281911446066	7	16.787857946866215	0.059566860951826776	-2.9105942853753155	0.02375053732218861	0.49956043973987735	0.3987206467266467	3.3969657099562145	60.42476565617799	33.96181650854105	15	12.21741752491978	0.08185035814322521	-2.7436763157801556	0.061671049571283255	0.7310723749476543	0.7534609618123925	6.285381583990005	78.59444746994009
18m_be_166	18	m	be	166	8	12.158206798572348	0.08224897113260345	-2.601600364567458	0.03494078036352896	0.5313165232133726	0.42481723336328103	3.77604890122289	45.40879354113716	8	12.282905080469831	0.08141396464831667	-2.8684475471020523	0.06735812599774584	0.9819902755656537	0.8273534680286393	7.977224854330621	99.38086479172377	49.7449005542084	16	12.220237834895057	0.08183146789046006	-2.7350239558347544	0.05183860584268525	0.7750718125576949	0.6334800924269942	5.399186727385534	73.56426532998574
18m_be_167	18	m	be	167	10	12.98429350546414	0.07701612718313654	-2.6356170645936414	0.024360421638397238	0.4545355429757624	0.3163028644698094	2.5550892164182284	35.57205263666916	10	13.457243227880179	0.0743094245282154	-2.9097757688458024	0.05292528283401109	0.9088475751842241	0.7122284040016389	8.556322934949073	118.57992736554897	49.10566899498768	20	13.216538630666474	0.07566277585567596	-2.772696416719722	0.04012301645889594	0.7133786640570557	0.530287397007865	4.74170910948374	70.740998491663
18m_be_168	18	m	be	168	6	7.877663604744971	0.12694119096398934	-2.2377853994279238	0.08223008632369679	0.6636438724870944	0.6477809582472234	8.37307504058498	75.54974392799372	6	14.778825487335368	0.06766437568783422	-2.9465337627488655	0.048323396038773794	0.8311175588602444	0.7141630370124311	6.535196207209461	94.70991340248558	34.77001036095499	12	10.277198306347929	0.09730278332591179	-2.5921595810883944	0.07136711172487856	0.8069510888753204	0.7334539597478652	6.570607375620286	64.69993208862635
18m_be_169	18	m	be	169	4	9.578842417061034	0.10439674821446937	-2.7358881605025553	0.08366559752296011	1.36050243639778	0.801419574401687	13.907159330059896	147.19644781503513	5	14.53182414367326	0.06881448537452686	-2.8486042943148404	0.04934117184175773	0.6249348453569724	0.7170172322471863	6.74753545204496	78.66441621481917	45.17405259615552	9	11.816304987318812	0.08462882441450131	-2.7985082348427137	0.0647606665184344	0.9449410069425566	0.7652317867638669	7.907048567098346	94.34930442844109
18m_be_170	18	m	be	170	8	10.632560253269022	0.09405072495992169	-2.7901744058545854	0.08676749475986074	1.0435316878587448	0.9225606160594234	8.910239232496055	101.03360423449324	7	15.505044447791061	0.0644951392024204	-3.066496405581529	0.04879205762716043	0.9550384356057415	0.7565230222083051	7.262469873943268	124.49543432036583	37.5011678262691	15	12.459798728365168	0.08025811827308775	-2.9191246723938256	0.0708344977048047	0.9776193215440112	0.8825835844267109	5.782291376800584	82.25187443931331
